texto	classe
Listen to silence. It has so much to say.	silence
The quieter you become the more you are able to hear.	silence
Saying nothing sometimes says the most.	silence
Speech is silver, silence is golden.	silence
All men’s miseries derive from not being able to sit in a quiet room alone.	silence
A fool is known by his speech; and a wise man by silence.	silence
It is better in prayer to have a heart without words than words without a heart.	silence
When you have nothing to say, say nothing.	silence
The monotony and solitude of a quiet life stimulates the creative mind.	silence
Silence is the sleep that nourishes wisdom.	silence
Silence is a source of great strength.	silence
The closer you are to the truth, the more silent you become inside.	silence
There was a brief silence. I think I heard snow falling.	silence
I, schooled in misery, know many purifying rites, and I know where speech is proper and where silence.	silence
In human intercourse the tragedy begins, not when there is misunderstanding about words, but when silence is not understood.	silence
I think 99 times and find nothing. I stop thinking, swim in silence, and the truth comes to me.	silence
If I could I would always work in silence and obscurity, and let my efforts be known by their results.	silence
All I insist on, and nothing else, is that you should show the whole world that you are not afraid. Be silent, if you choose; but when it is necessary, speak – and speak in such a way that people will remember it.	silence
I’ve begun to realize that you can listen to silence and learn from it. It has a quality and a dimension all its own.	silence
Silence is true wisdom’s best reply.	silence
Time and silence are the most luxurious things today.	silence
The more you understand silence, that’s where the balance comes.	silence
Noise creates illusions. Silence brings the truth.	silence
Everything has its wonders, even darkness and silence, and I learn whatever state I am in, therein to be content.	silence
Inner silence is the mother of all talents.	silence
In the silence behind what can be heard lies the answers we have been searching for for so long.	silence
Silence is so freaking loud.	silence
There is something terribly wrong with a culture inebriated by noise and gregariousness.	silence
The things that we understand, create silence. The things that we do not, create emotion.	silence
Silence is sometimes the best answer.	silence
Within us is the soul of the whole, the wise silence, the universal beauty, the eternal One.	silence
I think the first virtue is to restrain the tongue; he approaches nearest to gods who knows how to be silent, even though he is in the right.	silence
Don’t waste words on people deserve your silence. Sometimes the most powerful thing you can say is nothing at all.	silence
If there were a little more silence, if we all kept quiet…maybe we could understand something.	silence
The human heart has hidden treasures, in secret kept, in silence sealed; the thoughts, the hopes, the dreams, the pleasures, whose charms were broken if revealed.	silence
Silence speaks when words can’t.	silence
The world’s continual breathing is what we hear and call silence.	silence
In silence there is eloquence. Stop weaving and see how the pattern improves.	silence
Now all my teachers are dead except silence.	silence
Talk, talk, talk: the utter and heartbreaking stupidity of words.	silence
Keep silence for the most part, and speak only when you must, and then briefly.	silence
The good and the wise lead quiet lives. Euripides (This is one of my favorite quote. Leave a reply here and let me know what’s yours!	silence
Silence is a true friend who never betrays.	silence
As far as I’m concerned, I prefer silent vice to ostentatious virtue.	silence
Our lives begin to end the day we become silent about things that matter.	silence
Silence is the wit of fools.	silence
Nothing strengthens authority so much as silence.	silence
Without great solitude no serious work is possible.	silence
Speak only if it improves upon the silence.	silence
I often regret that I have spoken; never that I have been silent.	silence
The right word may be effective, but no word was ever as effective as a rightly timed pause.	silence
The truth hurts, but silence kills.	silence
The music is not in the notes, but in the silence between.	silence
As we must account for every idle word, so must we account for every idle silence.	silence
Three hundred years of humiliation, abuse and deprivation cannot be expected to find voice in a whisper.	silence
Silence is golden when you can’t think of a good answer.	silence
Silence is the ultimate weapon of power.	silence
If you face God in prayer and silence, God will speak to you. Then you will know that you are nothing. It is only when you realize your nothingness, your emptiness, that God can fill you with Himself. Souls of prayer are souls of great silence.	silence
It is not easy to keep silent when silence is a lie.	silence
Silence is argument carried out by other means.	silence
You have a grand gift for silence, Watson. It makes you quite invaluable as a companion.	silence
Experience teaches us that silence terrifies people the most.	silence
The eternal silence of these infinite spaces frightens me.	silence
Silence is the perfectest herald of joy. I were but little happy if I could say how much.	silence
Let us be silent, that we may hear the whispers of the gods.	silence
I never found the companion that was so companionable as solitude. We are for the most part more lonely when we go abroad among men than when we stay in our chambers.	silence
Silence is the element in which great things fashion themselves together.	silence
A sage thing is timely silence, and better than any speech.	silence
Be silent or let thy words be worth more than silence.	silence
We need silence to be able to touch souls.	silence
Silence is more eloquent than words.	silence
The best cure for the body is a quiet mind.	silence
Sometimes it’s better to be silent and smile.	silence
Silence, healing.	silence
Since long I’ve held silence a remedy for harm.	silence
Silence is safer than speech.	silence
Silence is better than unmeaning words.	silence
What’s quiet is more powerful than you think.	silence
Your silence will not protect you.	silence
I like working in silence.	silence
Silence is more musical than any song.	silence
No one nor anything can silence me.	silence
Solitude is a catalyst for innovation.	silence
You misinterpret everything, even the silence.	silence
Do not underestimate the determination of a quiet man.	silence
The silence is not suppression; instead, it is all there is.	silence
The silence is so deep it hurts our ears.	silence
Real action is in silent moments.	silence
Muddy water is best cleared by leaving it alone.	silence
Speech is of time, silence is of eternity.	silence
The quiet mind is richer than a crown.	silence
Noise: a stench in the ear.	silence
I was quiet, but I was not blind.	silence
Silence says a lot more than you think.	silence
Still waters run deep.	silence
nfidence is silent. Insecurities are loud.	silence
Getting no message is also a message.	silence
A wise man once said nothing.	silence
You are a slave to what you do say, a master of what you don’t say.	silence
Silence isn’t empty. It’s full of ansers.	silence
Silence is a place of great power and healing.	silence
Silence is the mother of truth.	silence
To hear, one must be silent.	silence
Sound is our mind, silence is our being.	silence
You cannot be angry when alone.	silence
Listening to the eternal involves a silence within us.	silence
One need not always be saying something in this noisy world.	silence
The wisest man is the silent one. Examine his actions. Judge him by them.	silence
Silence is the virtue of fools.	silence
A silent man is easily reputed wise.	silence
Speak for yourself and from yourself, or be silent.	silence
Speech is the small change of silence.	silence
Never be bullied into silence.	silence
Hope will never be silent.	silence
Great souls suffer in silence.	silence
The eternal silence of these infinite spaces frightens me.	silence
Absolute silence leads to sadness. It is the image of death.	silence
Being quiet is fine, most people don’t listen anyways.	silence
Silence has been destroyed, but also the idea that it’s important to learn how another person thinks, to enter the mind of another person. The whole idea of empathy is gone. We are now part of this giant machine where every second we have to take out a device and contribute our thoughts and opinions.	silence
Seeing her sitting there unresponsive makes me realize that silence has a sound.	silence
The cruelest lies are often told in silence.	silence
Noise is the most impertinent of all forms of interruption. It is not only an interruption, but also a disruption of thought.	silence
Living as we do in an age of noise and bluster, success is now measured accordingly. We must all be seen, and heard, and on the air.	silence
The ocean, the desert, and the jungle are the last strongholds and resorts of peace.	silence
I just realized that sleep sometimes is the only precious wage for the hard working man.	silence
Nowadays silence is looked on as odd and most of my race has forgotten the beauty of meaning much by saying little. Now tongues work all day by themselves with no help from the mind.	silence
Soon silence will have passed into legend. Man has turned his back on silence. Day after day he invents machines and devices that increase noise and distract humanity from the essence of life, contemplation, meditation…tooting, howling, screeching, booming, crashing, whistling, grinding, and trilling bolster his ego. His anxiety subsides. His inhuman void spreads monstrously like a gray vegetation.	silence
I did the only thing I knew how to do: I built my own walls of silence to disguise my desperation and what later came to be recognized and diagnosed as depression.	silence
By silence, I hear other men’s imperfections and conceal my own.	silence
I have only one confidant, and that is the silence of night.	silence
Some of the greatest battles will be fought within the silent chambers of your own soul.	silence
It’s the steady, quiet, plodding ones who win in the lifelong race.	silence
The hardest and most important battle you’ll deliver is when you’ll be alone. Will you follow the crowds or will you follow that little voice inside yourself?	silence
A fair request should be followed by the deed in silence.	silence
No person is your friend who demands your silence, or denies your right to grow.	silence
The true genius shudders at incompleteness – and usually prefers silence to saying something which is not everything it should be.	silence
How much better is silence; the coffee cup, the table. How much better to sit by myself like the solitary sea-bird that opens its wings on the stake. Let me sit here for ever with bare things, this coffee cup, this knife, this fork, things in themselves, myself being myself.	silence
No durable things are built on violent passion. Nature grows her plants in silence and in darkness, and only when they have become strong do they put their heads above the ground.	silence
When words become unclear, I shall focus with photographs. When images become inadequate, I shall be content with silence.	silence
I go silent so I can write. When my tongue is wagging my fingers are silent.	silence
hoose silence of all virtues, for by it you hear other men’s imperfections, and conceal your own.	silence
Withdraw into yourself, perceive there a silence as old as being, even older.	silence
Within each of us, there is silence. A silence as vast as the universe. And when we experience that silence, we remember who we are.	silence
No writer in our time has been more isolated than Kafka, and yet few have achieved communication as well as he did.	silence
Silence is the universal refuge, the sequel to all dull discourses and all foolish acts, a balm to our every chagrin, as welcome after satiety as after disappointment; that background which the painter may not daub, be he master or bungler, and which, however awkward a figure we may have made in the foreground, remains ever our inviolable asylum, where no indignity can assail, no personality can disturb us.	silence
Have you ever heard the wonderful silence just before the dawn? Or the quiet and calm just as a storm ends? Or perhaps you know the silence when you haven’t the answer to a question you’ve been asked, or the hush of a country road at night, or the expectant pause of a room full of people when someone is just about to speak, or, most beautiful of all, the moment after the door closes and you’re alone in the whole house? Each one is different, you know, and all very beautiful if you listen carefully.	silence
I think that one’s art is a growth inside one. I do not think one can explain growth. It is silent and subtle. One does not keep digging up a plant to see how it grows.	silence
As happens sometimes, a moment settled and hovered and remained for much more than a moment. And sound stopped and movement stopped for much, much more than a moment.	silence
I have come to believe over and over again that what is most important to me must be spoken, made verbal and shared, even at the risk of having it bruised or misunderstood.	silence
I have always loved the desert. One sits down on a desert sand dune, sees nothing, hears nothing. Yet through the silence something throbs, and gleams.	silence
Staying silent is like a slow growing cancer to the soul and a trait of a true coward. There is nothing intelligent about not standing up for yourself. You may not win every battle. However, everyone will at least know what you stood for – you.	silence
I need to be alone. I need to ponder my shame and my despair in seclusion; I need the sunshine and the paving stones of the streets without companions, without conversation, face to face with myself, with only the music of my heart for company.	silence
Truth is not only violated by falsehood; it may be equally outraged by silence.	silence
When I pronounce the word Future, the first syllable already belongs to the past. When I pronounce the word Silence, I destroy it.	silence
Use what talents you possess; the woods would be very silent if no birds sang there except those that sang best.	silence
We went down into the silent garden. Dawn is the time when nothing breathes, the hour of silence. Everything is transfixed, only the light moves.	silence
I drank the silence of God from a spring in the woods.	silence
You can hear the footsteps of God when silence reigns in the mind.	silence
Silence is the language of God; it is also the language of the heart.	silence
After silence, that which comes nearest to expressing the inexpressible is music.	silence
Your very silence shows you agree.	silence
Never miss a good chance to shut up.	silence
That man’s silence is wonderful to listen to.	silence
Talk doesn’t cook rice.	silence
There’s zero correlation between being the best talker and having the best ideas.	silence
I didn’t like having to explain to them, so I just shut up, smoked a cigarette, and looked at the sea.	silence
Poets have been mysteriously silent on the subject of cheese.	silence
The biggest challenge after success is shutting up about it.	silence
Good as is discourse, silence is better and shames it.	silence
People are like music, some speak the truth and others are just noise.	silence
Noise proves nothing. Often a hen who has merely laid an egg cackles as if she laid an asteroid.	silence
No one has a finer command of language than the person who keeps his mouth shut.	silence
It’s so simple to be wise. Just think of something stupid to say and then don’t say it.	silence
No man should live where he can hear his neighbor’s dog bark.	silence
It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.	silence
It is beautiful to talk about beautiful things and even more beautiful to silently gaze at them.	silence
Silence makes idiots seem wise even for a minute.	silence
Blessed is the man who, having nothing to say, abstains from giving us wordy evidence of the fact.	silence
I get tired of talking when I want to be silent.	silence
God is silent. Now if only man would shut up.	silence
Luxury, today, is solitude and silence.	silence
The world is never quiet, even its silence eternally resounds with the same notes, in vibrations which escape our ears. As for those that we perceive, they carry sounds to us, occasionally a chord, never a melody.	silence
I decided it is better to scream. Silence is the real crime against humanity.	silence
Silence is interesting. It can show confusion, indifference and sadness. But it can also show determination, confidence and caring.	silence
People will do anything, no matter how absurd, in order to avoid facing their own soul.	silence
Busyness functions like an addiction. When you stop, you have to face your thoughts, which terrifies most of us.	silence
In a world dedicated to distraction, silence and stillness terrify us; we protect ourselves from them with noise and frantic busyness. Looking into the nature of our mind is the last thing we would dare to do.	silence
Only silence perfects silence.	silence
Finding Nirvana is like locating silence.	silence
He who does not understand your silence will probably not understand your words.	silence
Silence is not the absence of sound, but the absence of self.	silence
In most areas of life, the less you say, the more profound and mysterious you appear.	silence
Maybe silence is something we’re uncomfortable with as a culture, I don’t know.	silence
When people are proud of their speech, be proud of your silence.	silence
Those who weep for the happy periods which they encounter in history acknowledge what they want; not the alleviation but the silencing of misery.	silence
Silence is not always tact and it is tact that is golden, not silence.	silence
Better remain silent, better not even think, if you are not prepared to act.	silence
I found I had less and less to say, until finally, I became silent, and began to listen. I discovered in the silence, the voice of God.	silence
You talk when you cease to be at peace with your thoughts; And when you can no longer dwell in the solitude of your heart you live in your lips, and sound is a diversion and a pastime. And in much of your talking, thinking is half murdered.	silence
There is greater comfort in the substance of silence than in the answer to a question.	silence
Does not everything depend on our interpretation of the silence around us?	silence
I said nothing for a time, just ran my fingertips along the edge of the human-shaped emptiness that had been left inside me.	silence
The space, the gaps, the pauses, the silence – those things that allow us to regenerate and recharge – had all but disappeared in my own life and in the lives of so many I knew.	silence
We refuse to turn off our computers, turn off our phone, log off Facebook, and just sit in silence, because in those moments we might actually have to face up to who we really are.	silence
There is no sound more annoying than the chatter of a child, and none more sad than the silence they leave when they are gone.	silence
If we had a keen vision of all that is ordinary in human life, it would be like hearing the grass grow or the squirrel’s heart beat, and we should die of that roar which is the other side of silence.	silence
For now she need not think of anybody. She could be herself, by herself. And that was what now she often felt the need of – to think; well not even to think. To be silent; to be alone.	silence
There’s really no such thing as the ‘voiceless’. There are only the deliberately silenced, or the preferably unheard.	silence
I have learned now that while those who speak about one’s miseries usually hurt, those who keep silence hurt more.	silence
Silence is the eternal duty of man.	silence
When truth is replaced by silence, the silence is a lie.	silence
All I want is blackness. Blackness and silence.	silence
Under all speech that is good for anything there lies a silence that is better.	silence
Human beings can’t bear silence. It would mean that they would bear themselves.	silence
Your hearts know in silence the secrets of the days and the nights.	silence
Silence is sometimes the severest criticism.	silence
I am silence among the secrets, and the Self-knowledge of the knowledgeable.	silence
All tyranny needs to gain a foothold is for people of good conscience to remain silent.	silence
Speech and silence. We feel safer with a madman who talks than with one who cannot open his mouth.	silence
Silence is the most perfect expression of scorn.	silence
There are nights when the wolves are silent and only the moon howls.	silence
A yawn is a silent shout.	silence
Silence is an empty space, space is the home of the awakened mind.	silence
Lying is done with words and also with silence.	silence
reating is more important than consuming and silence more important than noise.	silence
When I speak, you must not listen to the words, my dear. Listen to the silence.	silence
Speaking comes by nature, silence by understanding.	silence
If you’re asked: What is the silence? Respond: It is the first stone of the Wisdom’s temple.	silence
To sin by silence when they should protest makes cowards of men.	silence
Silence is only frightening to people who are compulsively verbalizing.	silence
The world would be happier if men had the same capacity to be silent that they have to speak.	silence
He who establishes his argument by noise and command shows that his reason is weak.	silence
I have found that one cannot win the war of words. So I don’t engage in one to begin with. I have renounced the need to be seen as right, intelligent or wise. I have seen the futility of verbal battles. Either one seeks to understand or score points. The latter isn’t worth it.	silence
Don’t waste words on people who deserve your silence. Sometimes the most powerful thing you can say is nothing at all.	silence
It seems only the old are able to sit next to one another and not say anything and still feel content. The young, brash and impatient, must always break the silence. It is a waste, for silence is pure.	silence
One must learn to be silent just as one must learn to talk.	silence
Only when the voice of duty is silent, or when it has already spoken, may we allowably think of the consequences of a particular action.	silence
It is always assumed by the empty-headed, who chatter about themselves for want of something better, that people who do not discuss their affairs openly must have something to hide.	silence
Silence is foolish if we are wise, but wise if we are foolish.	silence
When we speak we are afraid our words will not be heard, nor welcomed, but when we are silent we are still afraid. So it is better to speak remembering we were never meant to survive.	silence
You are most powerful when you are most silent. People never expect silence. They expect words, motion, defense, offense, back and forth. They expect to leap into the fray. They are ready, fists up, words hanging leaping from their mouths.	silence
Silence was not the absence of sound but was itself a sound that could be loud or soft, soothing or disturbing, complex or simple.	silence
I like the silent church before the service begins, better than any preaching.	silence
Music is pleasing not only because of the sound but because of the silence that is in it: without the alternation of sound and silence there would be no rhythm.	silence
A sudden silence in the middle of a conversation suddenly brings us back to essentials: it reveals how dearly we must pay for the invention of speech.	silence
We’ve known about the transcendent power of solitude for centuries; it’s only recently that we’ve forgotten it.	silence
Silence is a statement that is open to gross misinterpretation.	silence
It is more noble by silence to avoid an injury than by argument to overcome it.	silence
Silences are the most underrated part of comedy.	silence
The moment you become aware of the silence, you also have become silent.	silence
Silent gratitude isn’t very much to anyone.	silence
Silence, I learned, is some times the most beautiful sound.	silence
You can never get silence anywhere nowadays, have you noticed?	silence
The most significant conversations of our lives occur in silence.	silence
Happy people keep silent: they don’t have to prove anything to anybody.	silence
Quiet is peace. Tranquility. Quiet is turning down the volume knob on life. Silence is pushing the off button. Shutting it down. All of it.	silence
In a world of noise, confusion and conflict it is necessary that there be places of silence, inner discipline and peace. In such places love can blossom.	silence
I’m very interested in silence. And, more importantly, in what happens when people aren’t talking on stage. I’m interested in letting actors play and do things between the lines. And in slowing everything down.	silence
A soul that has never tasted the sweetness of inner silence is a restless spirit which disturbs the silence of others.	silence
Without silence, there cannot be any real appreciation in life, which is as delicate in its inner fabric as a closed rosebud.	silence
I discovered that I felt at home and alive in the silence, which compelled me to enter my interior world and around there.	silence
Silence can often be more disturbing than noise, it reveals the complicated mechanism of our thoughts.	silence
I’m a master of speaking silently—all my life I’ve spoken silently and I’ve lived through entire tragedies in silence.	silence
You find peace not by rearranging the circumstances of your life, but by realizing who you are at the deepest level.	silence
Make peace with silence, and remind yourself that it is in this space that you’ll come to remember your spirit.	silence
Those who remain unmoved by the wind of joy silently follow the Path.	silence
By silencing the mind, we can experience real peace. As long as various kinds of thoughts agitate the brain, we don’t experience 100 percent peace.	silence
Great joy, especially after a sudden change of circumstances, is apt to be silent, and dwells rather in the heart than on the tongue.	silence
Listen closely… the eternal hush of silence goes on and on throughout all this, and has been going on, and will go on and on. This is because the world is nothing but a dream and is just thought of and the everlasting eternity pays no attention to it.	silence
I love to read, and I like the fact that there’s some silence in my life.	silence
There are in life a few moments so beautiful, that even words are a sort of profanity.	silence
I woke up early and took the first train to take me away from the city. The noise and all its people. I was alone on the train and had no idea where I was going, and that’s why I went there.	silence
To listen to the silence, wherever you are, is an easy and direct way of becoming present.	silence
My personal hobbies are reading, listening to music, and silence.	silence
Love is essential, gregariousness is optional.	silence
Words can sting like anything, but silence breaks the heart.	silence
Love, and do what you will. If you keep silence, do it out of love. If you cry out, do it out of love. If you refrain from punishing, do it out of love.	silence
We sit silently and watch the world around us. This has taken a lifetime to learn.	silence
Only those who are comfortable with each other can sit without speaking.	silence
I don’t want to be married just to be married. I can’t think of anything lonelier than spending the rest of my life with someone I can’t talk to, or worse, someone I can’t be silent with.	silence
Your mind has a flood of questions. There is but one teacher who can answer them. Who is that teacher? Your silence-loving heart.	silence
When you’re comfortable with someone, you don’t need to always fill the void with noise. I liked it when we would just be.	silence
Not words nor laughter but rather someone who will fall in love with your silence.	silence
A heart worth loving is one you understand, even in silence.	silence
True friends are two people who are comfortable sharing silence together.	silence
We will remember not the words of our enemies, but the silence of our friends.	silence
Be silent and safe — silence never betrays you; be true to your word and your work and your friend; put least trust in him who is foremost to praise you, nor judge of a road till it draw to the end.	silence
What greater thing is there for two human souls than to feel that they are joined – to strengthen each other – to be at one with each other in silent unspeakable memories.	silence
Ships that pass in the night, and speak each other in passing, only a signal shown, and a distant voice in the darkness; So on the ocean of life, we pass and speak one another, only a look and a voice, then darkness again and a silence.	silence
There comes a moment when the silence between two people can have the purity of a diamond.	silence
Some hearts understand each other, even in silence.	silence
Slowly we became silent, and silence itself if an enemy to friendship.	silence
The most basic and powerful way to connect to another person is to listen. Just listen. Perhaps the most important thing we ever give each other is our attention… A loving silence often has far more power to heal and to connect than the most well-intentioned words.	silence
It is in deep solitude that I find the gentleness with which I can truly love my brothers. The more solitary I am the more affection I have for them…. Solitude and silence teach me to love my brothers for what they are, not for what they say.	silence
The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing… not healing, not curing… that is a friend who cares.	silence
If you can sit in silence with a person for half an hour and yet be entirely comfortable, you and that person can be friends. If you cannot, friends you’ll never be and you need not waste time in trying.	silence
Silent solitude makes true speech possible and personal. If I am not in touch with my own belovedness, then I cannot touch the sacredness of others. If I am estranged from myself, I am likewise a stranger to others.	silence
Perhaps the most important thing we bring to another person is the silence in us, not the sort of silence that is filled with unspoken criticism or hard withdrawal. The sort of silence that is a place of refuge, of rest, of acceptance of someone as they are. We are all hungry for this other silence. It is hard to find. In its presence we can remember something beyond the moment, a strength on which to build a life.	silence
There is something hugely civilised about allowing long pauses in a conversation. Very few people can stand that kind of silence.	silence
Silence is one of the great arts of conversation.	silence
Speech is great, but silence is greater.	silence
Learn to be silent. Let your quiet mind listen and absorb.	silence
Even if your silence could mean being weak to some, you know it means being strong.	silence
Strength is born in the deep silence of long-suffering hearts; not amid joy.	silence
There is a time to be quiet and a time to talk.	silence
The silence often of pure innocence persuades when speaking fails.	silence
Never forget that when we are silent, we are one. And when we speak we are two.	silence
Be a loner. That gives you time to wonder, to search for the truth. Have holy curiosity. Make your life worth living.	silence
Most people do not listen with the intent to understand; they listen with the intent to reply.	silence
He knew the lie of silence to be as evil as the lie of speech.	silence
Never assume that loud is strong and quiet is weak.	silence
Sorrow and silence are strong, and patient endurance is godlike.	silence
A man who lives right, and is right, has more power in his silence than another has by his words.	silence
The daggers of silence last longer than anything ever spoken.	silence
Spend your free time the way you like, not the way you think you’re supposed to.	silence
The more you know the less you need to say.	silence
You often hear old platitudes such as, ‘Speak out. Be heard.’ On the contrary, a breath of fresh air would be something like: ‘Silence, think for at least 15 minutes, and then maybe speak out.	silence
The easiest way to get touch with this universal power is through silent Prayer. Shut your eyes, shut your mouth, and open your heart. This is the golden rule of prayer. Prayer should be soundless words coming forth from the centre of your heart filled with love.	silence
We need silence to be able to reach our Self. Both internal and external silence is very important to feel the presence of that supreme Love.	silence
Sometimes you need to sit lonely on the floor in a quiet room in order to hear your own voice and not let it drown in the noise of others.	silence
Silence may be golden, but can you think of a better way to entertain someone than to listen to him?	silence
It’s okay to be honest about not knowing rather than spreading falsehood. While it is often said that honesty is the best policy, silence is the second best policy.	silence
Silence is the safest course for any man to adopt who distrust himself.	silence
Focus your attention on the quality of your words, and not the quantity, because few sensible talks attracts millions of listeners more than a thousand gibberish.	silence
Wise men, when in doubt whether to speak or to keep quiet, give themselves the benefit of the doubt, and remain silent.	silence
Silence is of different kinds, and breathes different meanings.	silence
I think I will do nothing for a long time but listen, and accrue what I hear into myself…and let sound contribute toward me.	silence
What we can’t speak, we say in silence.	silence
Non-judgment quiets the internal dialogue, and this opens once again the doorway to creativity.	silence
You throw thorns, falling in my silence they become flowers.	silence
Do you want to change the world? Then change yourself first. Do you want to change yourself? Then remain completely silent inside the silence-sea.	silence
